ts_epoch,market_slug,event,signal,mid,delta,abs_z,direction_strength,volume,hint_candidate,decision,reason,regime,spread,pos_size_hint,game_phase,pm_period,pm_score_diff
1771901013,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,SPIKE,0.22000,0.00500,1.95926,0.009796,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.08000,0.0000,PRE_GAME,,
1771901013,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,DIP,0.21500,-0.00500,1.09250,-0.005463,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.09000,0.0000,PRE_GAME,,
1771901013,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,SPIKE,0.22000,0.00500,1.84710,0.009235,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.08000,0.0000,PRE_GAME,,
1771901014,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,SPIKE,0.22000,0.01000,1.74759,0.017476,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.08000,0.0000,PRE_GAME,,
1771901014,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,DIP,0.21500,-0.00500,0.93802,-0.004690,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.09000,0.0000,PRE_GAME,,
1771901015,aec-nba-uta-hou-2026-02-23,Utah vs. Houston,SPIKE,0.13500,0.00500,1.78705,0.008935,113349,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,1,0
1771901016,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,SPIKE,0.21500,0.01000,0.93802,0.009380,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.09000,0.0000,PRE_GAME,,
1771901017,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,SPIKE,0.21500,0.00500,1.02343,0.005117,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.09000,0.0000,PRE_GAME,,
1771901017,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,DIP,0.20500,-0.01000,0.87181,-0.008718,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.11000,0.0000,PRE_GAME,,
1771901018,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,SPIKE,0.21500,0.00500,1.02343,0.005117,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.09000,0.0000,PRE_GAME,,
1771901019,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,DIP,0.20500,-0.00500,0.87181,-0.004359,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.11000,0.0000,PRE_GAME,,
1771901020,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,SPIKE,0.21500,0.00500,1.01233,0.005062,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.09000,0.0000,PRE_GAME,,
1771901020,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,DIP,0.20500,-0.00500,0.89773,-0.004489,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.11000,0.0000,PRE_GAME,,
1771901021,aec-cbb-lafay-colg-2026-02-25,Lafayette vs. Colgate,SPIKE,0.21500,0.00500,0.97271,0.004864,0,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.09000,0.0000,PRE_GAME,,
1771901024,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,DIP,0.64500,-0.00500,1.54109,-0.007705,195447,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,1,6
