ts_epoch,market_slug,event,signal,mid,delta,abs_z,direction_strength,volume,hint_candidate,decision,reason,regime,spread,pos_size_hint,game_phase,pm_period,pm_score_diff
1771801211,aec-nba-den-gs-2026-02-22,Denver vs. Golden State,DIP,0.17000,-0.01500,2.05402,-0.030810,215664,FADE,ACCEPT,ACCEPT_FADE,MEAN_REVERT,0.02000,0.0001,LIVE,4,7
1771801211,aec-nba-den-gs-2026-02-22,Denver vs. Golden State,DIP,0.16500,-0.00500,2.44507,-0.012225,215664,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.01000,0.0000,LIVE,4,7
1771801212,aec-nba-den-gs-2026-02-22,Denver vs. Golden State,DIP,0.15500,-0.01000,2.72298,-0.027230,215731,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.03000,0.0000,LIVE,4,7
1771801213,aec-nba-den-gs-2026-02-22,Denver vs. Golden State,DIP,0.15000,-0.00500,2.76776,-0.013839,215731,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.04000,0.0000,LIVE,4,7
1771801213,aec-nba-den-gs-2026-02-22,Denver vs. Golden State,DIP,0.14000,-0.01000,3.05382,-0.030538,215731,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.06000,0.0000,LIVE,4,7
1771801213,aec-nba-den-gs-2026-02-22,Denver vs. Golden State,DIP,0.13500,-0.00500,2.63810,-0.013190,215731,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.05000,0.0000,LIVE,4,7
1771801213,aec-nba-den-gs-2026-02-22,Denver vs. Golden State,SPIKE,0.14500,0.01000,1.85941,0.018594,217047,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.05000,0.0000,LIVE,4,7
1771801213,aec-nba-den-gs-2026-02-22,Denver vs. Golden State,DIP,0.13500,-0.01000,2.16590,-0.021659,217047,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.03000,0.0000,LIVE,4,7
1771801215,aec-nba-den-gs-2026-02-22,Denver vs. Golden State,SPIKE,0.14000,0.00500,1.33928,0.006696,217363,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04000,0.0000,LIVE,4,7
1771801220,aec-nba-den-gs-2026-02-22,Denver vs. Golden State,DIP,0.13500,-0.01000,1.01856,-0.010186,222710,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,4,7
