ts_iso,ts_epoch,event,market_slug,event_url,market_url,price_prev,mid_before,mid,delta,abs_delta,z,abs_z,direction_strength,signal,volume,best_bid,best_ask,spread,percentile,severity,burst,trade_hint,regime,game_phase
2026-02-16T23:24:45Z,1771284285,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.54250,0.54800,0.54150,-0.00650,0.00650,-3.50,3.50,-0.022746,DIP,206244,0.5100,0.5730,0.06300,98%,ALERT,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:45Z,1771284285,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.25500,0.25750,0.26150,0.00400,0.00400,-1.36,1.36,0.005432,SPIKE,99537,0.2570,0.2660,0.00900,95%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:46Z,1771284286,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.25750,0.26150,0.25850,-0.00300,0.00300,-1.68,1.68,-0.005028,DIP,99537,0.2570,0.2600,0.00300,93%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:46Z,1771284286,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.26150,0.25850,0.25550,-0.00300,0.00300,-1.96,1.96,-0.005892,DIP,99567,0.2510,0.2600,0.00900,93%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:46Z,1771284286,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.25850,0.25550,0.25950,0.00400,0.00400,-1.39,1.39,0.005548,SPIKE,99567,0.2590,0.2600,0.00100,95%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:46Z,1771284286,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.54850,0.54700,0.53650,-0.01050,0.01050,-2.34,2.34,-0.024583,DIP,206244,0.5110,0.5620,0.05100,99%,WATCH,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:47Z,1771284287,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.25750,0.25750,0.25400,-0.00350,0.00350,-1.79,1.79,-0.006270,DIP,99597,0.2500,0.2580,0.00800,94%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:49Z,1771284289,Colgate vs. Boston,aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/event/aec-cbb-colg-bostu-2026-02-16,https://polymarket.us/market/aec-cbb-colg-bostu-2026-02-16,0.25700,0.25600,0.25050,-0.00550,0.00550,-1.64,1.64,-0.009012,DIP,99627,0.2500,0.2510,0.00100,97%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:50Z,1771284290,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.53100,0.53850,0.52900,-0.00950,0.00950,-1.32,1.32,-0.012524,DIP,206446,0.5120,0.5460,0.03400,99%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T23:24:51Z,1771284291,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.52950,0.52900,0.52600,-0.00300,0.00300,-1.30,1.30,-0.003896,DIP,206946,0.5100,0.5420,0.03200,93%,INFO,,,MEAN_REVERT,UNKNOWN
